Account Id, 1st LoR, 2nd LoR, 500 Word Writing Sample, High School Transcript, Opportunity Id, 1st LoR, 2nd LoR, 500 Word Writing Sample, High School Transcript 
0013h00000Tcs2OAAR,false,false,false,true,0063h00000GUin6AAD,false,false,false,false
0013h00000Tcs2aAAB,false,false,false,false,0063h000009VpfiAAC,false,false,false,true
0013h00000Tcs2cAAB,false,false,false,false,0063h000009VqCrAAK,false,false,false,true
0013h00000Tcs2iAAB,false,false,false,false,0063h0000099c0FAAQ,false,false,false,true
0013h00000Tcs2kAAB,false,false,false,false,0063h000009Adh5AAC,true,false,false,false
0013h00000Tcs2qAAB,false,false,false,false,0063h000009VwBaAAK,false,false,false,true
0013h00000Tcs3CAAR,false,false,false,false,0063h000009VwEyAAK,false,false,false,true
0013h00000Tcs3DAAR,false,false,false,false,0063h000009VwAfAAK,false,false,false,true
0013h00000Tcs3kAAB,false,false,false,false,0063h000009VqM5AAK,true,false,false,true
0013h00000Tcs3mAAB,false,false,false,false,0063h000009VwLUAA0,false,false,false,true
0013h00000Tcs3pAAB,false,false,false,false,0063h000009AdhYAAS,false,false,false,true
0013h00000Tcs4bAAB,false,false,false,false,0063h000009VozJAAS,true,false,false,false
0013h00000Tcs5JAAR,false,false,false,false,0063h000009VqnOAAS,true,false,false,true
0013h00000Tcs5RAAR,false,false,false,false,0063h000009AdiNAAS,true,false,false,true
0013h00000Tcs5XAAR,false,false,false,false,0063h000009W0PNAA0,true,false,false,true
0013h00000Tcs5eAAB,false,false,false,false,0063h000009AFXGAA4,true,false,false,false
0013h00000Tcs5gAAB,false,false,false,false,0063h000009ADjdAAG,false,false,false,true
0013h00000Tcs5kAAB,false,false,false,false,0063h000009W1IpAAK,true,false,false,true
0013h00000Tcs5sAAB,false,false,false,false,0063h000009AHQ9AAO,true,true,false,true
0013h00000Tcs5xAAB,false,false,false,false,0063h0000099sqnAAA,true,false,false,true
0013h00000Tcs69AAB,false,false,false,false,0063h000009A2XGAA0,false,false,false,true
0013h00000Tcs6CAAR,false,false,false,false,0063h000009W8DGAA0,false,false,false,true
0013h00000Tcs6DAAR,false,false,false,false,0063h000009VwAQAA0,false,false,false,true
0013h00000U9nR5AAJ,false,false,false,false,0063h000009AhtYAAS,true,false,false,true
0013h00000UWvfZAAT,false,false,false,false,0063h00000CLIuNAAX,false,false,false,true
0013h00000UgMMLAA3,false,false,false,false,0063h000009AmiPAAS,false,false,false,true
0013h00000UgMhuAAF,false,false,false,false,0063h000009Amj8AAC,false,false,false,true
0013h00000WEfeqAAD,false,false,false,false,0063h00000CmusoAAB,false,false,true,false
0013h00000YWp5BAAT,false,false,false,false,0063h00000Co4DIAAZ,false,false,true,false
0013h00000fhX6LAAU,false,false,false,false,0063h00000DFvPRAA1,false,false,false,true
0013h00000hBlQUAA0,false,false,false,false,0063h00000DHuSIAA1,false,false,false,true
0013h00000kWkdlAAC,false,false,false,false,0063h00000DCqFiAAL,false,false,true,true
0013h00000qj4g9AAA,false,false,false,false,0063h00000DoPf1AAF,false,false,false,true
0013h00000tui3nAAA,false,false,false,false,0063h00000ERXXNAA5,false,false,false,true
0013h00000uNlqSAAS,false,false,false,false,0063h00000ESffFAAT,false,false,false,true
0013h00000vIyx6AAC,false,false,false,false,0063h00000EYLGfAAP,false,false,true,false
0013h00000xRPNfAAO,false,false,false,false,0063h00000EecfSAAR,false,false,true,true
0013h00000yBsWOAA0,false,false,false,false,0063h00000Escv4AAB,false,false,false,true
0013h00000zaPCiAAM,false,false,false,false,0063h00000Evf0YAAR,false,false,true,true
0013h000016YcKeAAK,false,false,false,false,0063h00000FlBGnAAN,false,false,true,true
0013h000018Mp1vAAC,false,false,false,true,0063h00000FlguDAAR,false,false,true,true
